College_Name,Zone ,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Satya Institute of Management Studies ,Southern ,Andhra pradesh,Management,"41,100",0,0,0,0,0,0,0,0
Sanskrithi School of Business ,Southern ,Andhra pradesh,Management,"31,500",0,8.5,7.5,5.5,0,0,0,0
Rajiv Gandhi Institute of Management and Science ,Southern ,Andhra pradesh,Management,"30,000",0,7.8,8.5,6.8,8.5,7.5,6.8,8.5
Emeralds Degree and PG College ,Southern ,Andhra pradesh,Management,"28,000","79,000",8.6,9.3,8.3,8.6,9.5,7,8.6
Ambedkar Institute of Management Studies ,Southern ,Andhra pradesh,Management,"1,10,000",0,0,0,0,0,0,0,0
"DNR School of Business Management, Bhimavaram ",Southern ,Andhra pradesh,Management,"27,000",0,0,0,0,0,0,0,0
Dr. K. V Subba Reddy Institute of ,Southern ,Andhra pradesh,Management,"34,500",0,8.3,9,9,8.8,7.8,7.5,7.8
Srinivasa Institute of Management Studies ,Southern ,Andhra pradesh,Management,"35,000",0,0,0,0,0,0,0,0
Sri Krishnadevaraya Institute of Management ,Southern ,Andhra pradesh,Management,"10,000",0,6,6,0,0,0,0,0
Andhra Loyola College ,Southern ,Andhra pradesh,Science,0,0,8,8.5,7.4,8.5,8.6,7,8.2
"Silver Jubilee Government Degree College, Kurnool ",Southern ,Andhra pradesh,Science,"5,346",0,7.7,8.3,6.1,9,7.7,7.1,7.9
Acharya NG Ranga Agricultural University ,Southern ,Andhra pradesh,Science,"27,900","29,830",8.4,8.8,8.1,9.4,8.2,7,8.6
Sri Venkateswara Institute of Medical Sciences ,Southern ,Andhra pradesh,Science,"27,700","29,200",7.8,8.2,7.9,8.1,7.5,7.5,7.5
K L University ,Southern ,Andhra pradesh,Science,"1,45,000","85,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2
"Andhra University, College of Engineering ",Southern ,Andhra pradesh,Science,0,0,7.7,8.2,6.9,7.8,8,7.2,7.9
PES Institute of Medical Sciences and Research ,Southern ,Andhra pradesh,Science,0,0,7.9,8.3,6.5,8.4,8.4,7.6,8.3
Sri Venkateswara University ,Southern ,Andhra pradesh,Science,"12,760","11,805",8.1,7.9,8.3,8.2,7.9,7.7,8.4
"Vignan’s Foundation for Science, Technology, and Research, ",Southern ,Andhra pradesh,Science,"70,000","70,000",8.2,8.2,8.4,8.5,8.2,7.7,8.4
Shri Vishnu College of Pharmacy ,Southern ,Andhra pradesh,Science,0,0,8,8.1,8,8.1,8.4,7.7,7.8
"JNTUA College of Engineering, Ananthapur ",Southern ,Andhra pradesh,Science,"58,750",0,7,7.1,7.3,6.7,7.5,6.3,7.3
Sagi Ramakrishnam Raju Engineering College ,Southern ,Andhra pradesh,Science,0,0,8.2,8.5,7.5,8.4,8.3,8.2,8.3
"Chalapathi Institute of Pharmaceutical Sciences, Guntur ",Southern ,Andhra pradesh,Science,0,0,8.1,8.7,8,8.3,8.8,7.9,7.1
Acharya Nagarjuna University ,Southern ,Andhra pradesh,Science,"13,800","8,395",7.3,7.7,7,7.2,8,5.7,8.2
Sri Venkateswara Veterinary University ,Southern ,Andhra pradesh,Science,"27,405","45,675",8.2,8.7,8,8.5,7.8,7.8,8.4
"TSR and TBK Degree and PG College, ",Southern ,Andhra pradesh,Science,"22,500","42,600",7.7,8.3,6,8.8,8,6.8,8.5
"Dr. Lankapalli Bullayya College, Visakhapatnam ",Southern ,Andhra pradesh,Science,0,0,8.2,8.7,7.5,8.6,9,6.8,8.3
"Krea University, Sri City ",Southern ,Andhra pradesh,Science,"7,70,500",0,8.6,8.2,8.6,8.7,8.6,8.8,8.8
Jawaharlal Nehru Technological University ,Southern ,Andhra pradesh,Science,0,0,7.4,7.7,6.8,7.1,7.7,7.1,7.8
PVKN Govt Degree College ,Southern ,Andhra pradesh,Science,"8,555",0,8.9,9.7,7.7,9,8.7,8.3,9.7
Indian Institute of Technology ,Southern ,Andhra pradesh,Science,"17,450","17,450",8.6,9,8.1,8.8,8.7,8.2,8.9
Centurion University of Technology and Management ,Southern ,Andhra pradesh,Science,"90,000","60,000",7.8,8,7.2,8.3,7.6,7.4,8.3
Bapatla Engineering College ,Southern ,Andhra pradesh,Science,"26,400",0,7.5,7.8,7.3,7.7,8.2,6.5,7.7
National Institute of Technology ,Southern ,Andhra pradesh,Science,"1,25,000","55,000",7.2,7.9,6.6,7.5,6.9,6.9,7.2
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Southern ,Andhra pradesh,Science,0,0,8.2,8.4,7.6,8.1,8.9,7.7,8.5
Indian Institute of Information Technology Design and ,Southern ,Andhra pradesh,Science,"67,500",0,7.4,7.9,7.6,8,6.7,7.2,7.2
Rajeev Gandhi Memorial College of Engineering and ,Southern ,Andhra pradesh,Science,0,0,7.4,7.8,7.2,7.6,8,6.2,7.4
VIT University ,Southern ,Andhra pradesh,Science,"2,75,000","1,53,000",8.2,8.3,7.9,8.3,8.1,8.4,8.1
"SRM University, Amaravathi ",Southern ,Andhra pradesh,Science,"16,000","1,60,000",8.7,8.7,8.1,9.2,9.2,8.4,8.4
Andhra Loyola College ,Southern ,Andhra pradesh,Commerce,0,0,8,8.5,7.4,8.5,8.6,7,8.2
K L University ,Southern ,Andhra pradesh,Commerce,"1,85,000","90,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2
Sri Venkateswara University ,Southern ,Andhra pradesh,Commerce,"8,510","9,900",8.1,7.9,8.3,8.2,7.9,7.7,8.4
GITAM Institute of Management ,Southern ,Andhra pradesh,Commerce,"1,40,000","80,000",8.5,8.6,7.3,8.8,9.2,8.4,8.7
Acharya Nagarjuna University ,Southern ,Andhra pradesh,Commerce,"4,665","11,750",7.3,7.7,7,7.2,8,5.7,8.2
"Silver Jubilee Government Degree College, Kurnool ",Southern ,Andhra pradesh,Commerce,"5,291",0,7.7,8.3,6.1,9,7.7,7.1,7.9
"TSR and TBK Degree and PG College, ",Southern ,Andhra pradesh,Commerce,"22,500",0,7.7,8.3,6,8.8,8,6.8,8.5
"Dr. Lankapalli Bullayya College, Visakhapatnam ",Southern ,Andhra pradesh,Commerce,0,0,8.2,8.7,7.5,8.6,9,6.8,8.3
PVKN Govt Degree College ,Southern ,Andhra pradesh,Commerce,"8,555",0,8.9,9.7,7.7,9,8.7,8.3,9.7
Centurion University of Technology and Management ,Southern ,Andhra pradesh,Commerce,"80,000",0,7.8,8,7.2,8.3,7.6,7.4,8.3
VIT University ,Southern ,Andhra pradesh,Commerce,"1,53,000",0,8.2,8.3,7.9,8.3,8.1,8.4,8.1
"SRM University, Amaravathi ",Southern ,Andhra pradesh,Commerce,"16,000",0,8.7,8.7,8.1,9.2,9.2,8.4,8.4
"Andhra University, College of Science & Technology, ",Southern ,Andhra pradesh,Commerce,0,0,8,8.6,6.4,8.8,8.3,7.1,8.7
Siddartha Educational Academy Group of Institutions ,Southern ,Andhra pradesh,Commerce,0,0,6.2,6.3,4.6,6.9,7.6,5.3,6.4
VIT-AP School of Business ,Southern ,Andhra pradesh,Commerce,"1,53,000",0,8.1,8.8,8.3,8.3,7.8,7.8,7.8
Emeralds Degree and PG College ,Southern ,Andhra pradesh,Commerce,"25,000",0,8.6,9.3,8.3,8.6,9.5,7,8.6
"AGL Degree and PG College, Visakhapatnam ",Southern ,Andhra pradesh,Commerce,0,0,7.4,7.5,6,9,8,6,8
"Adoni Arts and Science College, Adoni ",Southern ,Andhra pradesh,Commerce,0,0,8.2,8.5,7.3,8.5,8.3,7.8,8.7
A.G & S.G Siddhartha Degree College of ,Southern ,Andhra pradesh,Commerce,"3,714","15,500",8.5,8.9,7.6,8.9,8.4,8.4,8.8
Akkineni Nageswara Rao College ,Southern ,Andhra pradesh,Commerce,"3,315","9,210",8.6,9,9,8.3,0,0,0
"Andhra Muslim College of Arts and Science, ",Southern ,Andhra pradesh,Commerce,0,0,0,0,0,0,0,0,0
"Annabattuni Satyanarayana Degree College, Guntur ",Southern ,Andhra pradesh,Commerce,0,0,6.9,7.7,6,8,6.3,8.3,5
"Besant Theosophical College, Madanapalle ",Southern ,Andhra pradesh,Commerce,"6,000","20,000",8.3,8.5,8.5,8.5,8,8,8.5
Ch S D St Theresa's Atonomous College ,Southern ,Andhra pradesh,Commerce,"12,000",0,0,0,0,0,0,0,0
Dantuluri Narayana Raju college ,Southern ,Andhra pradesh,Commerce,"2,800","4,096",8.5,8.5,8.3,8.7,9.2,6.7,9.3
Duvvuru Ramanamma Women’s College ,Southern ,Andhra pradesh,Commerce,"15,000",0,0,0,0,0,0,0,0
Dharma Apparao College ,Southern ,Andhra pradesh,Commerce,0,0,0,0,0,0,0,0,0
"Dodla Kousalyamma Government College for Women, Nellore ",Southern ,Andhra pradesh,Commerce,"4,840",0,0,0,0,0,0,0,0
Government Degree College (Men) ,Southern ,Andhra pradesh,Commerce,0,0,7.8,8.5,5.5,0,0,0,0
"Silver Jubilee Government Degree College, Kurnool ",Southern ,Andhra pradesh,Arts,"5,291",0,7.7,8.3,6.1,9,7.7,7.1,7.9
"Dr. Lankapalli Bullayya College, Visakhapatnam ",Southern ,Andhra pradesh,Arts,0,0,8.2,8.7,7.5,8.6,9,6.8,8.3
PVKN Govt Degree College ,Southern ,Andhra pradesh,Arts,"12,720",0,8.9,9.7,7.7,9,8.7,8.3,9.7
"Andhra University, Dr. B. R. Ambedkar College ",Southern ,Andhra pradesh,Arts,"3,22,720",0,8.5,9.5,7.5,9.5,8,8,8.5
Andhra Loyola College ,Southern ,Andhra pradesh,Arts,0,0,8,8.5,7.4,8.5,8.6,7,8.2
K L University ,Southern ,Andhra pradesh,Arts,"1,65,000","1,45,000",8.3,8.5,7.6,8.3,8.8,8.3,8.2
IFMR Graduate School of Business ,Southern ,Andhra pradesh,Arts,0,0,8.2,8.3,8.1,8.4,8.3,8.5,7.8
Sri Venkateswara University ,Southern ,Andhra pradesh,Arts,"6,325","8,290",8.1,7.9,8.3,8.2,7.9,7.7,8.4
GITAM Institute of Management ,Southern ,Andhra pradesh,Arts,"80,000","5,000",8.5,8.6,7.3,8.8,9.2,8.4,8.7
"Vignan’s Foundation for Science, Technology, and Research, ",Southern ,Andhra pradesh,Arts,"70,000",0,8.2,8.2,8.4,8.5,8.2,7.7,8.4
Acharya Nagarjuna University ,Southern ,Andhra pradesh,Arts,"5,950","6,900",7.3,7.7,7,7.2,8,5.7,8.2
"Krea University, Sri City ",Southern ,Andhra pradesh,Arts,"7,70,500",0,8.6,8.2,8.6,8.7,8.6,8.8,8.8
Indian Institute of Management Visakhapatnam ,Southern ,Andhra pradesh,Arts,0,0,8.9,8.8,9,9,8.8,8.8,8.8
Indian Institute of Technology ,Southern ,Andhra pradesh,Arts,"17,450",0,8.6,9,8.1,8.8,8.7,8.2,8.9
Centurion University of Technology and Management ,Southern ,Andhra pradesh,Arts,"50,000",0,7.8,8,7.2,8.3,7.6,7.4,8.3
VIT University ,Southern ,Andhra pradesh,Arts,"43,000",0,8.2,8.3,7.9,8.3,8.1,8.4,8.1
"SRM University, Amaravathi ",Southern ,Andhra pradesh,Arts,"16,000","1,60,000",8.7,8.7,8.1,9.2,9.2,8.4,8.4
"Madanapalle Institute of Technology & Science, Madanapalle ",Southern ,Andhra pradesh,Arts,0,0,8.4,8.5,7.6,8.7,8.3,8.5,8.5
"Risali Institute of Management, Visakhapatnam ",Southern ,Andhra pradesh,Arts,"75,000",0,8.4,8.2,8.3,8.3,8.8,8.4,8.4
"Andhra University, College of Science & Technology, ",Southern ,Andhra pradesh,Arts,0,0,8,8.6,6.4,8.8,8.3,7.1,8.7
Siddartha Educational Academy Group of Institutions ,Southern ,Andhra pradesh,Arts,0,0,6.2,6.3,4.6,6.9,7.6,5.3,6.4
"AGL Degree and PG College, Visakhapatnam ",Southern ,Andhra pradesh,Arts,0,0,7.4,7.5,6,9,8,6,8
"Adoni Arts and Science College, Adoni ",Southern ,Andhra pradesh,Arts,0,0,8.2,8.5,7.3,8.5,8.3,7.8,8.7
A.G & S.G Siddhartha Degree College of ,Southern ,Andhra pradesh,Arts,"3,714",0,8.5,8.9,7.6,8.9,8.4,8.4,8.8
Akkineni Nageswara Rao College ,Southern ,Andhra pradesh,Arts,"3,315",0,8.6,9,9,8.3,0,0,0
"Andhra Muslim College of Arts and Science, ",Southern ,Andhra pradesh,Arts,0,0,0,0,0,0,0,0,0
"Annabattuni Satyanarayana Degree College, Guntur ",Southern ,Andhra pradesh,Arts,0,0,6.9,7.7,6,8,6.3,8.3,5
"Besant Theosophical College, Madanapalle ",Southern ,Andhra pradesh,Arts,"6,000","20,000",8.3,8.5,8.5,8.5,8,8,8.5
Ch S D St Theresa's Atonomous College ,Southern ,Andhra pradesh,Arts,"10,000","8,000",0,0,0,0,0,0,0
Andhra Loyola College ,Southern ,Andhra pradesh,Hotel-management,0,0,8,8.5,7.4,8.5,8.6,7,8.2
Acharya Nagarjuna University ,Southern ,Andhra pradesh,Hotel-management,"10,365","5,140",7.3,7.7,7,7.2,8,5.7,8.2
GEMS B School ,Southern ,Andhra pradesh,Hotel-management,"2,50,000",0,9.1,9.5,8.5,9.5,9,9,9
"Risali Institute of Management, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,"1,00,000","1,40,000",8.4,8.2,8.3,8.3,8.8,8.4,8.4
Sun International Institute for Tourism & Management- ,Southern ,Andhra pradesh,Hotel-management,"1,30,500","1,70,500",7.9,8.4,7.3,7.5,7.8,8.5,7.7
Alwar School of Business ,Southern ,Andhra pradesh,Hotel-management,"1,45,000",0,8,8,8,8,8,6.8,9
Sun International Institute For Tourism And Management ,Southern ,Andhra pradesh,Hotel-management,"1,30,500","1,70,500",9.4,9.7,9.7,9.7,9.7,8.7,8.7
Siddhartha Institute of Hotel Management and Catering ,Southern ,Andhra pradesh,Hotel-management,"55,000",0,0,0,0,0,0,0,0
Andhra University ,Southern ,Andhra pradesh,Hotel-management,"99,614",0,7.9,8.3,7.1,8.3,7.9,7.4,8.1
Krishna University ,Southern ,Andhra pradesh,Hotel-management,"70,860",0,7.7,8.3,7.1,8.4,7.3,7.5,7.8
"Acharya Nagarjuna University, Centre For Distance Education ",Southern ,Andhra pradesh,Hotel-management,"11,460","10,365",7.5,8.3,6.9,8,7.6,7,7.1
"Alliance College of Management and Hotel Management, ",Southern ,Andhra pradesh,Hotel-management,"2,90,000","1,00,000",8.9,8.3,8.7,9.7,8.8,8.3,9.3
"Aditya degree college, Rajahmundhry ",Southern ,Andhra pradesh,Hotel-management,0,0,8.1,8.5,7.7,8.9,7.2,7.9,8.2
State Institute of Hotel Management Catering Technology ,Southern ,Andhra pradesh,Hotel-management,"1,05,400",0,8.7,8.8,8.3,8.5,9,9,8.3
"St. Joseph's College for Women, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,0,0,8.2,9,7,8.3,8.3,8.3,8.1
"Chanakya Institute of Hotel Management & CT, ",Southern ,Andhra pradesh,Hotel-management,0,0,6.8,9,7,9,7,3,6
Indus Institute of Hotel Management ,Southern ,Andhra pradesh,Hotel-management,0,0,0,0,0,0,0,0,0
"Sumedha Institute of Aviation and Hotel Management, ",Southern ,Andhra pradesh,Hotel-management,0,0,0,0,0,0,0,0,0
"Techmate Institute of Aviation, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,0,0,0,0,0,0,0,0,0
Twinkle International Hotel Management Academy ,Southern ,Andhra pradesh,Hotel-management,0,0,0,0,0,0,0,0,0
"Flying Cats, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,0,0,6.3,7,6,6,6,7,6
"I Fly Academy, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,0,0,0,0,0,0,0,0,0
"Akbar Academy of Airline Studies, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,0,0,7.2,8,7,7,8,7,6
"Varnika Hotel Management & Business Management, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,0,0,0,0,0,0,0,0,0
"Frankfinn Institute of Air Hostess Training, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,0,0,8.6,8.2,7.2,9.2,8.8,9,9
"Imperial College of Hotel Management & Tourism, ",Southern ,Andhra pradesh,Hotel-management,0,0,7.5,7,7,8,8,8,7
"Southern International Hotel Management Academy, Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,0,0,0,0,0,0,0,0,0
"Food Craft Institute-[FCI], Visakhapatnam ",Southern ,Andhra pradesh,Hotel-management,"20,000",0,0,0,0,0,0,0,0
"Central Tribal University of A.P-[CTUAP ], Vizianagaram ",Southern ,Andhra pradesh,Hotel-management,"5,000",0,0,0,0,0,0,0,0
"Shangrila Institute of Hotel Management and Aviation, ",Southern ,Andhra pradesh,Hotel-management,"50,000","55,000",0,0,0,0,0,0,0
Acharya NG Ranga Agricultural University ,Southern ,Andhra pradesh,Agriculture,"26,700","29,830",8.4,8.8,8.1,9.4,8.2,7,8.6
Sri Venkateswara Veterinary University ,Southern ,Andhra pradesh,Agriculture,"6,210","42,195",8.2,8.7,8,8.5,7.8,7.8,8.4
"Dr. Y.S.R Horticultural University, Tadepalligudem ",Southern ,Andhra pradesh,Agriculture,"56,928","68,988",8.2,9,8.3,8.3,8.5,6.9,8.1
S. V. Agricultural College ,Southern ,Andhra pradesh,Agriculture,"14,400","10,920",8.6,8.8,8.5,8.8,8.5,8.3,8.4
Andhra Loyola College ,Southern ,Andhra pradesh,Agriculture,0,0,8,8.5,7.4,8.5,8.6,7,8.2
K L University ,Southern ,Andhra pradesh,Agriculture,"2,05,000",0,8.3,8.5,7.6,8.3,8.8,8.3,8.2
Acharya Nagarjuna University ,Southern ,Andhra pradesh,Agriculture,0,0,7.3,7.7,7,7.2,8,5.7,8.2
Centurion University of Technology and Management ,Southern ,Andhra pradesh,Agriculture,"60,000",0,7.8,8,7.2,8.3,7.6,7.4,8.3
"Andhra University, College of Science & Technology, ",Southern ,Andhra pradesh,Agriculture,0,0,8,8.6,6.4,8.8,8.3,7.1,8.7
"Acharya N. G. Ranga Agricultural University, College ",Southern ,Andhra pradesh,Agriculture,"23,550","27,800",6.2,6.7,7,5.5,6.7,5.3,6
"Besant Theosophical College, Madanapalle ",Southern ,Andhra pradesh,Agriculture,0,0,8.3,8.5,8.5,8.5,8,8,8.5
Dantuluri Narayana Raju college ,Southern ,Andhra pradesh,Agriculture,0,0,8.5,8.5,8.3,8.7,9.2,6.7,9.3
"Jawahar Bharati Degree & P.G College, Nellore ",Southern ,Andhra pradesh,Agriculture,0,0,8.8,9.5,9,0,0,0,0
"Maharajah's College, Vizianagaram ",Southern ,Andhra pradesh,Agriculture,"23,400",0,7,8,7,7,6,7,7
"Osmania College, Kurnool ",Southern ,Andhra pradesh,Agriculture,0,0,9.7,0,0,0,0,0,0
"Sri Durga Malleswari Siddhartha Mahila Kalasala- [SDMSM], ",Southern ,Andhra pradesh,Agriculture,0,0,7.1,7.2,6.8,6.5,7.8,6.6,7.5
